EPOCH 0 , FILE 75 , LOSS 3.5363305381585155 , TIME 18.548032999038696
EPOCH 0 , FILE 76 , LOSS 3.667070279869155 , TIME 18.66324806213379
EPOCH 0 , FILE 77 , LOSS 3.3224844007350494 , TIME 18.968848705291748
EPOCH 0 , FILE 78 , LOSS 3.513040988276508 , TIME 19.264474391937256
EPOCH 0 , FILE 79 , LOSS 3.327182855674435 , TIME 19.472735166549683
EPOCH 0 , FILE 80 , LOSS 3.377763552470939 , TIME 19.695528984069824
EPOCH 0 , FILE 81 , LOSS 3.1267168881229237 , TIME 20.030891180038452
EPOCH 0 , FILE 82 , LOSS 3.4744284026548367 , TIME 20.201350212097168
EPOCH 0 , FILE 83 , LOSS 3.474721476038743 , TIME 20.342464923858643
EPOCH 0 , FILE 84 , LOSS 3.5196205257646325 , TIME 20.587241888046265
EPOCH 0 , FILE 85 , LOSS 3.4788675142706813 , TIME 20.790775537490845
EPOCH 0 , FILE 86 , LOSS 3.2628326646371804 , TIME 21.073985815048218
EPOCH 0 , FILE 87 , LOSS 3.262618063229399 , TIME 21.185262203216553
EPOCH 0 , FILE 88 , LOSS 3.2358524712262127 , TIME 21.379621982574463
EPOCH 0 , FILE 89 , LOSS 3.4542701978113097 , TIME 21.653759717941284
EPOCH 0 , FILE 90 , LOSS 3.348230697570016 , TIME 21.9746515750885
EPOCH 0 , FILE 91 , LOSS 3.247589542969246 , TIME 22.209766149520874
EPOCH 0 , FILE 92 , LOSS 3.32264851874492 , TIME 22.49564480781555
EPOCH 0 , FILE 93 , LOSS 2.9367653025328204 , TIME 22.590238571166992
EPOCH 0 , FILE 94 , LOSS 3.264873123764355 , TIME 22.795589208602905
EPOCH 0 , FILE 95 , LOSS 3.4501634060713338 , TIME 23.133525609970093
EPOCH 0 , FILE 96 , LOSS 3.263087836213785 , TIME 23.414358377456665
EPOCH 0 , FILE 97 , LOSS 3.4347090414058505 , TIME 23.717861890792847
EPOCH 0 , FILE 98 , LOSS 3.578895025247635 , TIME 23.810760021209717
EPOCH 0 , FILE 99 , LOSS 3.4074149458409746 , TIME 24.004857540130615
EPOCH 0 , FILE 100 , LOSS 3.483847937282424 , TIME 24.21208095550537
EPOCH 0 , FILE 101 , LOSS 3.300401434816795 , TIME 24.478555917739868
EPOCH 0 , FILE 102 , LOSS 2.862757791690649 , TIME 24.60002827644348
EPOCH 0 , FILE 103 , LOSS 3.4001672205569897 , TIME 24.74036979675293
EPOCH 0 , FILE 104 , LOSS 3.320561290432056 , TIME 25.074707508087158
EPOCH 0 , FILE 105 , LOSS 3.289801640865828 , TIME 25.356027841567993
EPOCH 0 , FILE 106 , LOSS 3.3490689419099837 , TIME 25.56552481651306
EPOCH 0 , FILE 107 , LOSS 3.1893557496982594 , TIME 25.840234994888306
EPOCH 0 , FILE 108 , LOSS 3.5361591115059587 , TIME 26.062103986740112
EPOCH 0 , FILE 109 , LOSS 3.128575220368799 , TIME 26.37235426902771
EPOCH 0 , FILE 110 , LOSS 3.509996516855152 , TIME 26.47264552116394
EPOCH 0 , FILE 111 , LOSS 3.3486379920560565 , TIME 26.791006088256836
EPOCH 0 , FILE 112 , LOSS 3.15316255486434 , TIME 26.993306636810303
EPOCH 0 , FILE 113 , LOSS 3.0633374099788275 , TIME 27.07172918319702
EPOCH 0 , FILE 114 , LOSS 3.1539292429866137 , TIME 27.23051929473877
EPOCH 0 , FILE 115 , LOSS 3.1233313418126327 , TIME 27.48112440109253
EPOCH 0 , FILE 116 , LOSS 3.323852011435906 , TIME 27.62718677520752
EPOCH 0 , FILE 117 , LOSS 3.267483808414934 , TIME 27.912850856781006
EPOCH 0 , FILE 118 , LOSS 3.083673744953522 , TIME 28.190737009048462
EPOCH 0 , FILE 119 , LOSS 3.1335655060420007 , TIME 28.45610499382019
EPOCH 0 , FILE 120 , LOSS 3.3563431959912844 , TIME 28.654314041137695
EPOCH 0 , FILE 121 , LOSS 3.3166665501372945 , TIME 28.95756196975708
EPOCH 0 , FILE 122 , LOSS 3.162758061255425 , TIME 29.20880675315857
EPOCH 0 , FILE 123 , LOSS 2.949289854736581 , TIME 29.548903942108154
EPOCH 0 , FILE 124 , LOSS 3.289533844074951 , TIME 29.82527756690979
EPOCH 0 , FILE 125 , LOSS 3.300911808938016 , TIME 30.101972103118896
EPOCH 0 , FILE 126 , LOSS 3.3339711509357715 , TIME 30.257291555404663
EPOCH 0 , FILE 127 , LOSS 3.4473282599794497 , TIME 30.480140209197998
EPOCH 0 , FILE 128 , LOSS 3.0391353524638367 , TIME 30.76407241821289
EPOCH 0 , FILE 129 , LOSS 3.171258792173125 , TIME 30.936879634857178
